Approved Symbol	Phenotypes
CUL3	Pseudohypoaldosteronism, type IIE, Autosomal dominant
COL4A4	Alport syndrome, autosomal recessive, Autosomal recessive;Hematuria, familial benign (3)
COL4A3	Alport syndrome, autosomal dominant, Autosomal dominant;Alport syndrome, autosomal recessive, Autosomal recessive;Hematuria, benign familial, Autosomal dominant
MFF	Encephalopathy due to defective mitochondrial and peroxisomal fission 2, Autosomal recessive
SLC19A3	Thiamine metabolism dysfunction syndrome 2 (biotin- or thiamine-responsive encephalopathy type 2), Autosomal recessive
MYP12	Myopia 12
SP110	Hepatic venoocclusive disease with immunodeficiency, Autosomal recessive
DIS3L2	Perlman syndrome, Autosomal recessive
ECEL1	Arthrogryposis, distal, type 5D, Autosomal recessive
PRSS56	Microphthalmia, isolated 6, Autosomal recessive
CHRND	Multiple pterygium syndrome, lethal type, Autosomal recessive;Myasthenic syndrome, congenital, 3B, fast-channel, Autosomal recessive
CHRNG	Escobar syndrome, Autosomal recessive;Multiple pterygium syndrome, lethal type, Autosomal recessive
KCNJ13	Leber congenital amaurosis 16, Autosomal recessive;Snowflake vitreoretinal degeneration, Autosomal dominant
SAG	Oguchi disease-1, Autosomal recessive;Retinitis pigmentosa 47
UGT1A1	Crigler-Najjar syndrome, type I, Autosomal recessive;Crigler-Najjar syndrome, type II, Autosomal recessive;Hyperbilirubinemia, familial transient neonatal, Autosomal recessive
COL6A3	Bethlem myopathy 1, Autosomal recessive, Autosomal dominant;Dystonia 27, Autosomal recessive;Ullrich congenital muscular dystrophy 1, Autosomal recessive, Autosomal dominant
MLPH	Griscelli syndrome, type 3, Autosomal recessive
PER2	Advanced sleep phase syndrome, familial, 1, Autosomal dominant
TRAF3IP1	Senior-Loken syndrome 9, Autosomal recessive
TWIST2	Ablepharon-macrostomia syndrome, Autosomal dominant;Barber-Say syndrome, Autosomal dominant;Focal facial dermal dysplasia 3, Setleis type, Autosomal recessive
NDUFA10	Leigh syndrome, Autosomal recessive, Mitochondrial
KIF1A	Mental retardation, autosomal dominant 9, Autosomal dominant;Neuropathy, hereditary sensory, type IIC, Autosomal recessive;Spastic paraplegia 30, autosomal recessive, Autosomal recessive
AGXT	Hyperoxaluria, primary, type 1, Autosomal recessive
D2HGDH	D-2-hydroxyglutaric aciduria, Autosomal recessive
MYMY1	Moyamoya disease, Autosomal recessive
TRNT1	Retinitis pigmentosa and erythrocytic microcytosis, Autosomal recessive;Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay, Autosomal recessive
CRBN	Mental retardation, autosomal recessive 2, Autosomal recessive
SUMF1	Multiple sulfatase deficiency, Autosomal recessive
ITPR1	Gillespie syndrome;Spinocerebellar ataxia 15, Autosomal dominant;Spinocerebellar ataxia 29, congenital nonprogressive, Autosomal dominant
CAV3	Cardiomyopathy, familial hypertrophic, Autosomal dominant;Creatine phosphokinase, elevated serum, Autosomal dominant;Long QT syndrome 9;Muscular dystrophy, limb-girdle, type IC, Autosomal recessive, Autosomal dominant;Myopathy, distal, Tateyama type, Autosomal dominant;Rippling muscle disease, Autosomal dominant
SETD5	Mental retardation, autosomal dominant 23, Autosomal dominant
BRPF1	Intellectual developmental disorder with dysmorphic facies and ptosis, Autosomal dominant
OGG1	Renal cell carcinoma, clear cell, somatic
JAGN1	Neutropenia, severe congenital, 6, autosomal recessive, Autosomal recessive
IL17RC	Candidiasis, familial, 9, Autosomal recessive
CRELD1	Atrioventricular septal defect, partial, with heterotaxy syndrome, Autosomal dominant
FANCD2	Fanconi anemia, complementation group D2, Autosomal recessive
VHL	Erythrocytosis, familial, 2, Autosomal recessive;Hemangioblastoma, cerebellar, somatic (3);Pheochromocytoma, Autosomal dominant;Renal cell carcinoma, somatic;von Hippel-Lindau syndrome, Autosomal dominant
SLC6A1	Myoclonic-atonic epilepsy, Autosomal dominant
PPARG	Carotid intimal medial thickness 1;Insulin resistance, severe, digenic, Autosomal dominant;Lipodystrophy, familial partial, type 3, Autosomal dominant;Obesity, severe, Autosomal recessive, Autosomal dominant, Multifactorial
TSEN2	Pontocerebellar hypoplasia type 2B, Autosomal recessive
RAF1	Cardiomyopathy, dilated, 1NN, Autosomal dominant;LEOPARD syndrome 2;Noonan syndrome 5
LGMD1H	Muscular dystrophy, limb-girdle, type 1H, Autosomal dominant
WNT7A	Fuhrmann syndrome, Autosomal recessive;Ulna and fibula, absence of, with severe limb deficiency, Autosomal recessive
TMEM43	Arrhythmogenic right ventricular dysplasia 5, Autosomal dominant;Emery-Dreifuss muscular dystrophy 7, AD, Autosomal dominant
XPC	Xeroderma pigmentosum, group C, Autosomal recessive
CCDC174	Hypotonia, infantile, with psychomotor retardation, Autosomal recessive
COLQ	Myasthenic syndrome, congenital, 5, Autosomal recessive
BTD	Biotinidase deficiency, Autosomal recessive
TRICY1	Trichilemmal cyst 1, Autosomal dominant
SGO1	Chronic atrial and intestinal dysrhythmia, Autosomal recessive
THRB	Thyroid hormone resistance, Autosomal dominant;Thyroid hormone resistance, autosomal recessive, Autosomal recessive;Thyroid hormone resistance, selective pituitary, Autosomal dominant
RARB	Microphthalmia, syndromic 12, Autosomal recessive, Autosomal dominant
NGLY1	Congenital disorder of deglycosylation, Autosomal recessive
TGFBR2	Colorectal cancer, hereditary nonpolyposis, type 6;Esophageal cancer, somatic;Loeys-Dietz syndrome 2, Autosomal dominant
GPD1L	Brugada syndrome 2
GLB1	GM1-gangliosidosis, type I, Autosomal recessive;GM1-gangliosidosis, type II, Autosomal recessive;GM1-gangliosidosis, type III, Autosomal recessive;Mucopolysaccharidosis type IVB (Morquio), Autosomal recessive
CRTAP	Osteogenesis imperfecta, type VII, Autosomal recessive
MLH1	Colorectal cancer, hereditary nonpolyposis, type 2;Mismatch repair cancer syndrome, Autosomal recessive;Muir-Torre syndrome, Autosomal dominant
PLCD1	Nail disorder, nonsyndromic congenital, 3, (leukonychia), Autosomal recessive, Autosomal dominant
DLEC1	Esophageal cancer, Autosomal dominant;Lung cancer, Autosomal recessive
MYD88	Macroglobulinemia, Waldenstrom, somatic;Pyogenic bacterial infections, recurrent, due to MYD88 deficiency
ACVR2B	Heterotaxy, visceral, 4, autosomal
SCN5A	Atrial fibrillation, familial, 10, Autosomal dominant;Brugada syndrome 1, Autosomal dominant;Cardiomyopathy, dilated, 1E, Autosomal dominant;Heart block, nonprogressive, Autosomal dominant;Heart block, progressive, type IA, Autosomal dominant;Long QT syndrome-3, Autosomal dominant;Sick sinus syndrome 1, Autosomal recessive;Ventricular fibrillation, familial, 1
SCN10A	Episodic pain syndrome, familial, 2, Autosomal dominant
SCN11A	Episodic pain syndrome, familial, 3, Autosomal dominant;Neuropathy, hereditary sensory and autonomic, type VII, Autosomal dominant
SLC25A38	Anemia, sideroblastic, 2, pyridoxine-refractory, Autosomal recessive
RPSA	Asplenia, isolated congenital, Autosomal dominant
CTNNB1	Colorectal cancer, somatic;Hepatocellular carcinoma, somatic;Medulloblastoma, somatic;Mental retardation, autosomal dominant 19, Autosomal dominant;Ovarian cancer, somatic;Pilomatricoma, somatic
KLHL40	Nemaline myopathy 8, autosomal recessive
POMGNT2	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 8, Autosomal recessive
ANO10	Spinocerebellar ataxia, autosomal recessive 10, Autosomal recessive
ABHD5	Chanarin-Dorfman syndrome, Autosomal recessive
LARS2	Perrault syndrome 4, Autosomal recessive
SLC6A20	Hyperglycinuria, Autosomal dominant;Iminoglycinuria, digenic, Autosomal recessive, Digenic recessive
LZTFL1	Bardet-Biedl syndrome 17, Autosomal recessive
FYCO1	Cataract 18, autosomal recessive, Autosomal recessive
TDGF1	Forebrain defects (3)
TMIE	Deafness, autosomal recessive 6, Autosomal recessive
MYL3	Cardiomyopathy, hypertrophic, 8
PTH1R	Chondrodysplasia, Blomstrand type, Autosomal recessive;Eiken syndrome, Autosomal recessive;Failure of tooth eruption, primary, Autosomal dominant;Metaphyseal chondrodysplasia, Murk Jansen type, Autosomal dominant
NBEAL2	Gray platelet syndrome, Autosomal recessive
SETD2	Luscan-Lumish syndrome, Autosomal dominant
TREX1	Aicardi-Goutieres syndrome 1, dominant and recessive, Autosomal recessive, Autosomal dominant;Chilblain lupus, Autosomal dominant;Vasculopathy, retinal, with cerebral leukodystrophy, Autosomal dominant
COL7A1	EBD inversa, Autosomal recessive;EBD, Bart type, Autosomal dominant;EBD, localisata variant (3);Epidermolysis bullosa dystrophica, AD, Autosomal dominant;Epidermolysis bullosa dystrophica, AR, Autosomal recessive;Epidermolysis bullosa pruriginosa, Autosomal recessive, Autosomal dominant;Epidermolysis bullosa, pretibial, Autosomal recessive, Autosomal dominant;Toenail dystrophy, isolated, Autosomal dominant;Transient bullous of the newborn, Autosomal recessive, Autosomal dominant
SLC25A20	Carnitine-acylcarnitine translocase deficiency, Autosomal recessive
NDUFAF3	Mitochondrial complex I deficiency, Autosomal recessive, X-linked dominant, Mitochondrial
QARS	Microcephaly, progressive, seizures, and cerebral and cerebellar atrophy, Autosomal recessive
LAMB2	Nephrotic syndrome, type 5, with or without ocular abnormalities;Pierson syndrome, Autosomal recessive
GPX1	Hemolytic anemia due to glutathione peroxidase deficiency, Autosomal recessive
AMT	Glycine encephalopathy, Autosomal recessive
DAG1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 9, Autosomal recessive;Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 9, Autosomal recessive
GMPPB	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 14, Autosomal recessive;Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 14, Autosomal recessive;Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 14, Autosomal recessive
TRAIP	Seckel syndrome 9, Autosomal recessive
GNAT1	Night blindness, congenital stationary, autosomal dominant 3, Autosomal dominant
GNAI2	Pituitary ACTH-secreting adenoma (3);Ventricular tachycardia, idiopathic, Autosomal dominant
RASSF1	Lung cancer, Autosomal recessive
ZMYND10	Ciliary dyskinesia, primary, 22, Autosomal recessive
NPRL2	Epilepsy, familial focal, with variable foci 2, Autosomal dominant
ACY1	Aminoacylase 1 deficiency, Autosomal recessive
POC1A	Short stature, onychodysplasia, facial dysmorphism, and hypotrichosis, Autosomal recessive
GLYCTK	D-glyceric aciduria, Autosomal recessive
BAP1	Tumor predisposition syndrome, Autosomal dominant
TNNC1	Cardiomyopathy, dilated, 1Z;Cardiomyopathy, hypertrophic, 13
RFT1	Congenital disorder of glycosylation, type In, Autosomal recessive
PRKCD	Autoimmune lymphoproliferative syndrome, type III, Autosomal recessive
TKT	Short stature, developmental delay, and congenital heart defects, Autosomal recessive
CACNA1D	Primary aldosteronism, seizures, and neurologic abnormalities, Autosomal dominant;Sinoatrial node dysfunction and deafness, Autosomal recessive
WNT5A	Robinow syndrome, autosomal dominant 1, Autosomal dominant
IL17RD	Hypogonadotropic hypogonadism 18 with or without anosmia, Autosomal dominant
HESX1	Growth hormone deficiency with pituitary anomalies, Autosomal recessive, Autosomal dominant;Pituitary hormone deficiency, combined, 5, Autosomal recessive, Autosomal dominant;Septooptic dysplasia, Autosomal recessive, Autosomal dominant
FLNB	Atelosteogenesis, type I, Autosomal dominant;Atelosteogenesis, type III, Autosomal dominant;Boomerang dysplasia, Autosomal dominant;Larsen syndrome, Autosomal dominant;Spondylocarpotarsal synostosis syndrome, Autosomal recessive
DNASE1L3	Systemic lupus erythematosus 16, Autosomal recessive
PDHB	Pyruvate dehydrogenase E1-beta deficiency
ACOX2	Bile acid synthesis defect, congenital, 6, Autosomal recessive
ATXN7	Spinocerebellar ataxia 7, Autosomal dominant
SLC25A26	Combined oxidative phosphorylation deficiency 28, Autosomal recessive
EOGT	Adams-Oliver syndrome 4, Autosomal recessive
LMOD3	Nemaline myopathy 10, Autosomal recessive
MITF	COMMAD syndrome, Autosomal recessive;Tietz albinism-deafness syndrome, Autosomal dominant;Waardenburg syndrome, type 2A, Autosomal dominant;Waardenburg syndrome/ocular albinism, digenic, Autosomal dominant
FOXP1	Mental retardation with language impairment and with or without autistic features, Autosomal dominant
PROK2	Hypogonadotropic hypogonadism 4 with or without anosmia, Autosomal dominant
ROBO2	Vesicoureteral reflux 2
GBE1	Glycogen storage disease IV, Autosomal recessive;Polyglucosan body disease, adult form, Autosomal recessive
CHMP2B	Amyotrophic lateral sclerosis 17, Autosomal dominant;Dementia, familial, nonspecific, Autosomal dominant
POU1F1	Pituitary hormone deficiency, combined, 1, Autosomal recessive, Autosomal dominant
PROS1	Thrombophilia due to protein S deficiency, autosomal dominant, Autosomal dominant;Thrombophilia due to protein S deficiency, autosomal recessive, Autosomal recessive
ARL13B	Joubert syndrome 8, Autosomal recessive
ARL6	Bardet-Biedl syndrome 3, Autosomal recessive
CPOX	Coproporphyria, Autosomal dominant;Harderoporphyria, Autosomal dominant
TFG	Hereditary motor and sensory neuropathy, Okinawa type, Autosomal dominant
IMPG2	Macular dystrophy, vitelliform, 5, Autosomal dominant;Retinitis pigmentosa 56, Autosomal recessive
TRMT10C	Combined oxidative phosphorylation deficiency 30, Autosomal recessive
CD96	C syndrome, Autosomal recessive
ZBTB20	Primrose syndrome, Autosomal dominant
ARHGAP31	Adams-Oliver syndrome 1, Autosomal dominant
POGLUT1	Dowling-Degos disease 4, Autosomal dominant
HGD	Alkaptonuria, Autosomal recessive
IQCB1	Senior-Loken syndrome 5, Autosomal recessive
ILDR1	Deafness, autosomal recessive 42, Autosomal recessive
CASR	Hypercalciuric hypercalcemia (3);Hyperparathyroidism, neonatal, Autosomal recessive, Autosomal dominant;Hypocalcemia, autosomal dominant, Autosomal dominant;Hypocalcemia, autosomal dominant, with Bartter syndrome, Autosomal dominant;Hypocalciuric hypercalcemia, type I, Autosomal dominant
GLC1C	Glaucoma 1C, primary open angle, Autosomal dominant
MBS2	Facial paresis, hereditary congenital, 1, Autosomal dominant
CSTA	Peeling skin syndrome 4, Autosomal recessive
DIRC2	Renal cell carcinoma
ADCY5	Dyskinesia, familial, with facial myokymia, Autosomal dominant
MYLK	Aortic aneurysm, familial thoracic 7, Autosomal dominant
UMPS	Orotic aciduria, Autosomal recessive
ZNF148	Global developmental delay, absent or hypoplastic corpus callosum, and dysmorphic facies, Autosomal dominant
SEC61A1	Hyperuricemic nephropathy, familial juvenile, 4, Autosomal dominant
GATA2	Emberger syndrome, Autosomal dominant;Immunodeficiency 21, Autosomal dominant
RAB7A	Charcot-Marie-Tooth disease, type 2B, Autosomal dominant
ACAD9	Mitochondrial complex I deficiency due to ACAD9 deficiency, Autosomal recessive
GP9	Bernard-Soulier syndrome, type C, Autosomal recessive
CNBP	Myotonic dystrophy 2, Autosomal dominant
IFT122	Cranioectodermal dysplasia 1, Autosomal recessive
DFNA18	Deafness, autosomal dominant 18, Autosomal dominant
DWS	Dandy-Walker syndrome, Isolated cases
OTSC5	Otosclerosis 5
RHO	Night blindness, congenital stationary, autosomal dominant 1;Retinitis pigmentosa 4, autosomal dominant or recessive, Autosomal recessive, Autosomal dominant;Retinitis punctata albescens, Autosomal recessive, Autosomal dominant
TRH	Thyrotropin-releasing hormone deficiency, Autosomal recessive
ATP2C1	Hailey-Hailey disease, Autosomal dominant
MRPL3	Combined oxidative phosphorylation deficiency 9, Autosomal recessive
UBA5	Epileptic encephalopathy, early infantile, 44, Autosomal recessive
NPHP3	Meckel syndrome 7, Autosomal recessive;Nephronophthisis 3, Autosomal recessive;Renal-hepatic-pancreatic dysplasia 1, Autosomal recessive
BFSP2	Cataract 12, multiple types, Autosomal dominant
TF	Atransferrinemia, Autosomal recessive
SLCO2A1	Hypertrophic osteoarthropathy, primary, autosomal recessive 2, Autosomal recessive
KY	Myopathy, myofibrillar, 7, Autosomal recessive
PCCB	Propionicacidemia, Autosomal recessive
FOXL2	Blepharophimosis, epicanthus inversus, and ptosis, type 1, Autosomal dominant;Blepharophimosis, epicanthus inversus, and ptosis, type 2, Autosomal dominant;Premature ovarian failure 3
MRPS22	Combined oxidative phosphorylation deficiency 5, Autosomal recessive
ATR	Seckel syndrome 1, Autosomal recessive
PLOD2	Bruck syndrome 2, Autosomal recessive
ZIC1	Craniosynostosis 6, Autosomal dominant
AGTR1	Renal tubular dysgenesis, Autosomal recessive
GYG1	Polyglucosan body myopathy 2, Autosomal recessive
HPS3	Hermansky-Pudlak syndrome 3
CP	Cerebellar ataxia, Autosomal recessive;Hemosiderosis, systemic, due to aceruloplasminemia, Autosomal recessive
CLRN1	Retinitis pigmentosa 61;Usher syndrome, type 3A, Autosomal recessive
P2RY12	Bleeding disorder, platelet-type, 8, Autosomal recessive
MME	Charcot-Marie-Tooth disease, axonal, type 2T, Autosomal recessive, Autosomal dominant
SLC33A1	Congenital cataracts, hearing loss, and neurodegeneration, Autosomal recessive;Spastic paraplegia 42, autosomal dominant, Autosomal dominant
MLF1	Leukemia, acute myeloid, Autosomal dominant
GFM1	Combined oxidative phosphorylation deficiency 1, Autosomal recessive
IFT80	Short-rib thoracic dysplasia 2 with or without polydactyly, Autosomal recessive
MYP8	Myopia 8, Multifactorial
SI	Sucrase-isomaltase deficiency, congenital, Autosomal recessive
BCHE	Apnea, postanesthetic (3)
PDCD10	Cerebral cavernous malformations 3
SERPINI1	Encephalopathy, familial, with neuroserpin inclusion bodies, Autosomal dominant
MECOM	Radioulnar synostosis with amegakaryocytic thrombocytopenia 2, Autosomal dominant
TERC	Dyskeratosis congenita, autosomal dominant 1, Autosomal dominant
SLC7A14	Retinitis pigmentosa 68, Autosomal recessive
SLC2A2	Fanconi-Bickel syndrome, Autosomal recessive
TNIK	Mental retardation, autosomal recessive 54, Autosomal recessive
GHSR	Growth hormone deficiency, isolated partial, Autosomal recessive, Autosomal dominant
TBL1XR1	Mental retardation, autosomal dominant 41, Autosomal dominant;Pierpont syndrome, Autosomal dominant
PIK3CA	Breast cancer, somatic;CLOVE syndrome, somatic;Colorectal cancer, somatic;Cowden syndrome 5;Gastric cancer, somatic;Hepatocellular carcinoma, somatic;Keratosis, seborrheic, somatic;Megalencephaly-capillary malformation-polymicrogyria syndrome, somatic;Nevus, epidermal, somatic;Nonsmall cell lung cancer, somatic;Ovarian cancer, somatic
GNB4	Charcot-Marie-Tooth disease, dominant intermediate F, Autosomal dominant
CCDC39	Ciliary dyskinesia, primary, 14
DNAJC19	3-methylglutaconic aciduria, type V, Autosomal recessive
SOX2	Microphthalmia, syndromic 3, Autosomal dominant;Optic nerve hypoplasia and abnormalities of the central nervous system, Autosomal dominant
SPG14	Spastic paraplegia 14, autosomal recessive, Autosomal recessive
MCCC1	3-Methylcrotonyl-CoA carboxylase 1 deficiency, Autosomal recessive
KLHL24	Epidermolysis bullosa simplex, generalized, with scarring and hair loss, Autosomal dominant
EIF2B5	Leukoencephalopathy with vanishing white matter, Autosomal recessive;Ovarioleukodystrophy, Autosomal recessive
DVL3	Robinow syndrome, autosomal dominant 3, Autosomal dominant
ALG3	Congenital disorder of glycosylation, type Id, Autosomal recessive
CLCN2	Leukoencephalopathy with ataxia, Autosomal recessive
THPO	Thrombocythemia 1, Autosomal dominant
LIPH	Hypotrichosis 7, Autosomal recessive;Woolly hair, autosomal recessive 2 with or without hypotrichosis, Autosomal recessive
CRYGS	Cataract 20, multiple types, Autosomal dominant
HRG	Thrombophilia due to HRG deficiency, Autosomal dominant;Thrombophilia due to elevated HRG, Autosomal dominant
ADIPOQ	Adiponectin deficiency
MASP1	3MC syndrome 1, Autosomal recessive
BCL6	Lymphoma, B-cell
LPP	Leukemia, acute myeloid, Autosomal dominant;Lipoma (3)
TP63	ADULT syndrome, Autosomal dominant;Ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome 3, Autosomal dominant;Hay-Wells syndrome, Autosomal dominant;Limb-mammary syndrome, Autosomal dominant;Orofacial cleft 8, Autosomal dominant;Rapp-Hodgkin syndrome, Autosomal dominant;Split-hand/foot malformation 4, Autosomal dominant
P3H2	Myopia, high, with cataract and vitreoretinal degeneration, Autosomal recessive
CLDN1	Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis, Autosomal recessive
CLDN16	Hypomagnesemia 3, renal, Autosomal recessive
OPA1	Behr syndrome, Autosomal recessive;Optic atrophy 1, Autosomal dominant;Optic atrophy plus syndrome, Autosomal dominant
TFRC	Immunodeficiency 46, Autosomal recessive
PCYT1A	Spondylometaphyseal dysplasia with cone-rod dystrophy, Autosomal recessive
RNF168	RIDDLE syndrome, Autosomal recessive
CEP19	Morbid obesity and spermatogenic failure, Autosomal recessive
RPL35A	Diamond-Blackfan anemia 5, Autosomal dominant
SPG38	Spastic paraplegia 38, autosomal dominant, Autosomal dominant
PIGG	Mental retardation, autosomal recessive 53, Autosomal recessive
PDE6B	Night blindness, congenital stationary, autosomal dominant 2, Autosomal dominant;Retinitis pigmentosa-40, Autosomal recessive
IDUA	Mucopolysaccharidosis Ih, Autosomal recessive;Mucopolysaccharidosis Ih/s, Autosomal recessive;Mucopolysaccharidosis Is, Autosomal recessive
RNF212	Recombination rate QTL 1
UVSSA	UV-sensitive syndrome 3, Autosomal recessive
FGFR3	Achondroplasia, Autosomal dominant;Bladder cancer, somatic;CATSHL syndrome, Autosomal recessive, Autosomal dominant;Cervical cancer, somatic;Colorectal cancer, somatic;Crouzon syndrome with acanthosis nigricans, Autosomal dominant;Hypochondroplasia, Autosomal dominant;LADD syndrome, Autosomal dominant;Muenke syndrome, Autosomal dominant;Nevus, epidermal, somatic;SADDAN, Autosomal dominant;Spermatocytic seminoma, somatic;Thanatophoric dysplasia, type I, Autosomal dominant;Thanatophoric dysplasia, type II, Autosomal dominant
SH3BP2	Cherubism, Autosomal dominant
HTT	Huntington disease, Autosomal dominant
DOK7	Myasthenic syndrome, congenital, 10, Autosomal recessive
LRPAP1	Myopia 23, autosomal recessive, Autosomal recessive
MSX1	Ectodermal dysplasia 3, Witkop type, Autosomal dominant;Orofacial cleft 5;Tooth agenesis, selective, 1, with or without orofacial cleft, Autosomal dominant
EVC2	Ellis-van Creveld syndrome, Autosomal recessive;Weyers acrofacial dysostosis, Autosomal dominant
EVC	Ellis-van Creveld syndrome, Autosomal recessive;Weyers acrodental dysostosis, Autosomal dominant
WFS1	Deafness, autosomal dominant 6/14/38, Autosomal dominant;Wolfram syndrome, Autosomal recessive;Wolfram-like syndrome, autosomal dominant, Autosomal dominant
HMX1	Oculoauricular syndrome, Autosomal recessive
SLC2A9	Hypouricemia, renal, 2, Autosomal recessive, Autosomal dominant
DRD5	Dystonia, primary cervical (3)
RAB28	Cone-rod dystrophy 18, Autosomal recessive
NKX3-2	Spondylo-megaepiphyseal-metaphyseal dysplasia, Autosomal recessive
CC2D2A	COACH syndrome, Autosomal recessive;Joubert syndrome 9, Autosomal recessive;Meckel syndrome 6, Autosomal recessive
PROM1	Cone-rod dystrophy 12;Macular dystrophy, retinal, 2, Autosomal dominant;Retinitis pigmentosa 41, Autosomal recessive;Stargardt disease 4
TAPT1	Osteochondrodysplasia, complex lethal, Symoens-Barnes-Gistelinck type, Autosomal recessive
QDPR	Hyperphenylalaninemia, BH4-deficient, C, Autosomal recessive
SEPSECS	Pontocerebellar hypoplasia type 2D, Autosomal recessive
SLC34A2	Pulmonary alveolar microlithiasis, Autosomal recessive
RBPJ	Adams-Oliver syndrome 3, Autosomal dominant
WDR19	Nephronophthisis 13, Autosomal recessive;Senior-Loken syndrome 8, Autosomal recessive
LIAS	Hyperglycinemia, lactic acidosis, and seizures, Autosomal recessive
UCHL1	Spastic paraplegia 79, autosomal recessive, Autosomal recessive
PHOX2B	Central hypoventilation syndrome, congenital, with or without Hirschsprung disease, Autosomal dominant;Neuroblastoma with Hirschsprung disease
GRXCR1	Deafness, autosomal recessive 25, Autosomal recessive
GABRB1	Epileptic encephalopathy, early infantile, 45, Autosomal dominant
CORIN	Preeclampsia/eclampsia 5
CNGA1	Retinitis pigmentosa 49
DFNA27	Deafness, autosomal dominant 27, Autosomal dominant
DFNB55	Deafness, autosomal recessive 55, Autosomal recessive
MYP9	Myopia 9, Multifactorial
TAPVR1	Total anomalous pulmonary venous return, Autosomal dominant
SGCB	Muscular dystrophy, limb-girdle, type 2E, Autosomal recessive
PDGFRA	Gastrointestinal stromal tumor, somatic;Hypereosinophilic syndrome, idiopathic, resistant to imatinib, Isolated cases, Somatic mutation
KIT	Gastrointestinal stromal tumor, familial, Autosomal dominant, Isolated cases;Germ cell tumors, Somatic mutation;Leukemia, acute myeloid, Autosomal dominant;Mast cell disease, Autosomal dominant;Piebaldism, Autosomal dominant
KDR	Hemangioma, capillary infantile, somatic
SRD5A3	Congenital disorder of glycosylation, type Iq, Autosomal recessive;Kahrizi syndrome, Autosomal recessive
TMEM165	Congenital disorder of glycosylation, type IIk, Autosomal recessive
SRP72	Bone marrow failure syndrome 1, Autosomal dominant
IGFBP7	Retinal arterial macroaneurysm with supravalvular pulmonic stenosis, Autosomal recessive
TECRL	Ventricular tachycardia, catecholaminergic polymorphic, 3, Autosomal recessive
GNRHR	Hypogonadotropic hypogonadism 7 without anosmia, Autosomal recessive
AMBN	Amelogenesis imperfecta, type IF, Autosomal recessive
ENAM	Amelogenesis imperfecta, type IB, Autosomal dominant;Amelogenesis imperfecta, type IC, Autosomal recessive
SLC4A4	Renal tubular acidosis, proximal, with ocular abnormalities, Autosomal recessive
ALB	Analbuminemia
AFP	Alpha-fetoprotein deficiency, Autosomal recessive
C4orf26	Amelogenesis imperfecta, type IIA4, Autosomal recessive
SCARB2	Epilepsy, progressive myoclonic 4, with or without renal failure, Autosomal recessive
FRAS1	Fraser syndrome, Autosomal recessive
ANTXR2	Hyaline fibromatosis syndrome, Autosomal recessive
FGF5	Trichomegaly, Autosomal recessive
HNRNPDL	Muscular dystrophy, limb-girdle, type 1G, Autosomal dominant
COQ2	Coenzyme Q10 deficiency, primary, 1, Autosomal recessive
MYP11	Myopia 11
DSPP	Deafness, autosomal dominant 39, with dentinogenesis, Autosomal dominant;Dentin dysplasia, type II, Autosomal dominant;Dentinogenesis imperfecta, Shields type II, Autosomal dominant;Dentinogenesis imperfecta, Shields type III, Autosomal dominant
DMP1	Hypophosphatemic rickets, AR, Autosomal recessive
PKD2	Polycystic kidney disease 2
PIGY	Hyperphosphatasia with mental retardation syndrome 6, Autosomal recessive
SNCA	Dementia, Lewy body, Autosomal dominant;Parkinson disease 1, Autosomal dominant;Parkinson disease 4, Autosomal dominant
GRID2	Spinocerebellar ataxia, autosomal recessive 18, Autosomal recessive
SMARCAD1	Adermatoglyphia, Autosomal dominant;Basan syndrome, Autosomal dominant
BMPR1B	Acromesomelic dysplasia, Demirhan type, Autosomal recessive;Brachydactyly, type A1, D, Autosomal dominant;Brachydactyly, type A2, Autosomal dominant
TYS	Huriez syndrome, Autosomal dominant
RAP1GDS1	Lymphocytic leukemia, acute T-cell (3)
TRMT10A	Microcephaly, short stature, and impaired glucose metabolism 1, Autosomal recessive
MTTP	Abetalipoproteinemia, Autosomal recessive
OCA5	Albinism, oculocutaneous, type V, Autosomal recessive
SLC39A8	Congenital disorder of glycosylation, type IIn, Autosomal recessive
NFKB1	Immunodeficiency, common variable, 12, Autosomal dominant
MANBA	Mannosidosis, beta, Autosomal recessive
CISD2	Wolfram syndrome 2, Autosomal recessive
TACR3	Hypogonadotropic hypogonadism 11 with or without anosmia, Autosomal recessive
TET2	Myelodysplastic syndrome, somatic
PPA2	Sudden cardiac failure, infantile, Autosomal recessive
TBCK	Hypotonia, infantile, with psychomotor retardation and characteristic facies 3, Autosomal recessive
AIMP1	Leukodystrophy, hypomyelinating, 3, Autosomal recessive
CYP2U1	Spastic paraplegia 56, autosomal recessive, Autosomal recessive
